devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	Belkin	F5D8235-4	v2	Ralink RT3052	1	384	8	32	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
other	Belkin	F7C027	NULL	Ralink RT5350F	1	360	16	32	-	-	b/g/n	-	-	-	Yes	230 VAC, 0.1 A
other	Belkin	F7C030	NULL	Ralink RT5350F	1	360	16	32	-	-	b/g/n	-	-	-	Yes	-
WiFi Router	Belkin	F7D3302 (Share)	1	Broadcom BCM4718	1	480	8	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Belkin	F7D4301 (Play Max)	1	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	a/n	-	2x 2.0	Yes	-
WiFi Router	Belkin	F7D4401 (Play)	1	Broadcom BCM4718	1	480	8	64	-	5	b/g/n	a/n	-	2x 2.0	Yes	-
WiFi Router	Belkin	F9K1109	v1	Ralink RT3883	1	500	8	64	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Belkin	F9K1115 (AC 1750 DB)	v2	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	Billion	BiPAC 7700N	NULL	Broadcom BCM63281	1	320	8	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
other	Bitmain	Antrouter R1	NULL	Atheros AR9331	1	400	8	64	-	-	b/g/n	-	-	-	-	-
other	Bitmain	Antminer S1	NULL	Atheros AR9331	1	400	8	64	-	-	b/g/n	-	-	-	-	-
other	Bitmain	Antminer S3	NULL	Atheros AR9331	1	400	8	64	-	-	b/g/n	-	-	-	-	-
WiFi Router	BT	Home Hub 1	1.5	Broadcom BCM6348	1	256	8	32	2	-	b/g	-	-	1x Device	Yes	-
WiFi Router	BT	Home Hub 2	Type A	Broadcom BCM6358	2	300	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	15 VDC, 1.2 A
WiFi Router	BT	Home Hub 2	Type B	Lantiq Danube PSB 50712	2	333	32NAND	64	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	BT	Home Hub 3	Type A	Lantiq XWAY ARX168	2	333	32	64	3	2	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	BT	Home Hub 3	Type B	Broadcom BCM6361	2	400	32	64	5	-	b/g/n	-	-	1x 2.0	No	-
WiFi Router	BT	Home Hub 5	Type A	Lantiq XWAY VRX268	2	500	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
Modem	BT Openreach	VG3503J	v1	Lantiq XRX200	1	333	8	32	2	-	-	-	-	-	Yes	12 VDC, 1.0 A
Modem	BT Openreach	VG3503J	v2	Lantiq XRX200	1	333	8	32	2	-	-	-	-	-	Yes	12 VDC, 1.0 A
Router	Buffalo	BHR-4RV	NULL	Broadcom BCM4704KPBG	1	333	8	64	5	-	-	-	-	-	-	-
NAS	Buffalo	LS421DE	NULL	Marvell Armada 370	1	1200	512NAND	512	-	1	-	-	-	1x 3.0	Yes	12 VDC, 4.0 A
Modem	Buffalo	WBMR-G54	NULL	Texas Instruments TNETD7300	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 1.2 A
Modem	Buffalo	WBMR-HP-G300H	NULL	Lantiq XWAY ARX168	2	333	32	64	-	4	b/g/n	-	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Buffalo	WHR-1166D	NULL	MediaTek MT7620A	1	580	16	128	5	-	b/g/n	a/n/ac	-	-	-	12 VDC, 1.0 A
WiFi Router	Buffalo	WHR-300HP2	NULL	MediaTek MT7620A	1	580	16	64	5	-	b/g/n	-	-	-	-	12 VDC, 1.0 A
WiFi Router	Buffalo	WHR-600D	NULL	MediaTek MT7620A	1	580	8	64	5	-	b/g/n	a/n	-	-	-	12 VDC, 1.0 A
WiFi Router	Buffalo	WHR-G125	NULL	Broadcom BCM5354	1	240	4	16	5	-	b/g	-	-	-	Yes	3.3 VDC, 2.0 A
WiFi Router	Buffalo	WHR-G300N	v1	Ralink RT3052	1	384	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 2.0 A
WiFi Router	Buffalo	WHR-G300N	v2	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Buffalo	WHR-G301N	v1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Buffalo	WHR-G54S	v2	Broadcom BCM5352	1	200	4	16	5	-	b/g	-	-	-	Yes	3.3 VDC, 2.0 A
WiFi Router	Buffalo	WHR-HP-G300N	v1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 2.3 A
WiFi Router	Buffalo	WHR-HP-GN	v1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 2.0 A
WiFi Router	Buffalo	WHR-HP-G54	NULL	Broadcom BCM5352	1	200	4	16	5	-	b/g	-	-	-	Yes	5 VDC, 1.3 A
WiFi Router	Buffalo	WLI-TX4-AG300N	v1	Ralink RT2880	1	384	4	32	4	-	b/g/n	a/n	-	-	Yes	12 VDC, 1.5 A
WiFi Router	Buffalo	WLI-TX4-G54HP	NULL	Broadcom BCM5352	1	200	4	16	4	-	b/g	-	-	-	-	-
Travel Router	Buffalo	WMR-300	NULL	MediaTek MT7620N	1	580	8	64	1	-	b/g/n	-	-	-	Yes	5 VDC, 0.5 A, USB Male A
WiFi Router	Buffalo	WSR-1166DHP	NULL	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	Buffalo	WSR-600DHP	NULL	MediaTek MT7621S	1	880	16	64	-	5	b/g/n	a/n	-	-	-	12 VDC, 1.5 A
WiFi Router	Buffalo	WZR-1750DHP(D)	NULL	Broadcom BCM4708A0	2	800	128NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 4.0 A
WiFi Router	Buffalo	WZR-300HP	NULL	Atheros AR7242	1	400	32	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Buffalo	WZR-450HP2	NULL	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Buffalo	WZR-600DHP	NULL	Atheros AR7161	1	680	32	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Buffalo	WZR-600DHP2	NULL	Broadcom BCM47081	1	800	128	256	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 3.0 A
WiFi Router	Buffalo	WZR-AG300NH	NULL	Marvell 88F5181	1	500	8	32	-	5	b/g/n	a/n	-	-	Yes	12 VDC, 1.3 A
WiFi Router	Buffalo	WLI-H4-D1300	NULL	Broadcom BCM4706	1	600	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	-	-
WiFi Router	Buffalo	WZR-D1800H	NULL	Broadcom BCM4706	1	600	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 3.0 A
WiFi Router	Buffalo	WZR-HP-AG300H	v1	Atheros AR7161	1	680	32	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Buffalo	WZR-HP-G300NH	v1	Atheros AR9132 rev 2	1	400	32	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Buffalo	WZR-HP-G300NH2	C1A0	Atheros AR7242	1	400	32	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Buffalo	WZR-HP-G301NH	v1	Atheros AR9132	1	400	32	64	-	5	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	Buffalo	WZR-HP-G450H	v1	Atheros AR7242	1	400	32	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Cell C	RTL30VW	NULL	Qualcomm IPQ4019	4	-	16	256	-	2	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	Check Point	L-50	NULL	Marvell 88F6281	1	1200	512NAND	512	-	10	b/g/n	-	-	2x 2.0	Yes	12 VDC, 2.5 A
Router	Cisco	ON100-K9	V01	Marvell 88F6282	1	1600	512NAND	512	-	2	-	-	-	1x 2.0	Yes	5 VDC, 3.0 A
Modem	Cisco	EPC3208G	NULL	Broadcom BCM3382	1	-	16	32	-	1	-	-	-	-	-	-
WiFi Router	Cisco	EPC3825	NULL	Broadcom BCM3380	1	333	8	64	-	4	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	Cisco	EPC3925	NULL	Broadcom BCM3380	1	333	16	64	-	4	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Cisco	Valet M10	v1.0	Broadcom BCM4716	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	Cisco	Valet M10	v2.0	Broadcom BCM5357	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi AP	Cisco	VEN401	NULL	Broadcom BCM4717	1	354	8	64	1	-	-	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Cisco	WRVS4400N	v2.0	Cavium CNS1109, Cavium CNS1202	1	250	8	64	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
NAS	Cloud Engines	Pogoplug V2	POGO-E02	Marvell 88F6281	1	1200	128	256	-	1	-	-	-	4x 2.0	Yes	100-240 VAC, 50-60 Hz
NAS	Cloud Engines	Pogoplug Mobile	POGO-V4-A1-01	Marvell 88F6192	1	800	128NAND	128	-	1	-	-	-	1x 2.0	Yes	12 VDC, 2.0 A
NAS	Cloud Engines	Pogoplug V4	POGO-V4-A3-02	Marvell 88F6192	1	800	SD	128	-	1	-	-	-	2x 3.0	Yes	12 VDC, 2.0 A
NAS	Cloud Engines	Pogoplug V3 Pro	P02	PLX NAS7820	2	700	128	128	-	1	b/g/n	-	-	4x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.5 A
NAS	Cloud Engines	Pogoplug V3	P2*	PLX NAS7820	2	700	128	128	-	1	-	-	-	4x 2.0	Yes	-
WiFi AP	COMFAST	CF-E110N	v2	Qualcomm Atheros QCA9531	1	650	8	64	2	-	b/g/n	-	-	-	Yes	PoE 9-24 VDC
WiFi Router	COMFAST	CF-E120A	v3	Atheros AR9344	1	535	8	64	2	-	-	a/n	-	-	Yes	9-24 VDC, 0.5A
WiFi AP	COMFAST	CF-E130N	v2	Qualcomm Atheros QCA9531	1	650	8	64	1	-	b/g/n	-	-	-	Yes	PoE 15 VDC
WiFi Router	COMFAST	CF-E313AC	NULL	Qualcomm Atheros QCA9531	1	650	16	64	2	-	-	a/n/ac	-	-	Yes	PoE 802.3af/at
WiFi Router	COMFAST	CF-E314N	V2	Qualcomm Atheros QCA9531	1	650	8	64	-	2	b/g/n	-	-	-	Yes	PoE 802.3af/at
WiFi AP	COMFAST	CF-E380AC	v1	Qualcomm Atheros QCA9558	1	720	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	PoE
WiFi AP	COMFAST	CF-E385AC	NULL	Qualcomm Atheros QCA9558	1	720	16	256	-	2	b/g/n	a/n/ac	-	-	Yes	PoE
WiFi Router	COMFAST	CF-E560AC	NULL	Qualcomm Atheros QCA9531	1	650	16	128	7	-	b/g/n	a/n/ac	-	1x 2.0	Yes	48 VDC, PoE 802.3af/at
WiFi AP	COMFAST	CF-EW72	NULL	Qualcomm Atheros QCA9531-BL3A	1	650	16	128	2	-	b/g/n	a/n/ac	-	-	Yes	PoE 802.3af/at
WiFi Router	COMFAST	CF-WR800N	v1	MediaTek MT7620N	1	580	8	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 50-60 Hz, 0.05 A
Single Board Computer	Compex	MMC543AHV	6E03	Atheros AR7161	1	680	8	32	1	-	b/g/n	a/n	-	-	Yes	-
WiFi Router	Compex	MMC543HV	6E03	Atheros AR7130	1	300	4	32	1	-	b/g/n	a/n	-	-	Yes	-
WiFi Router	Compex	WP54	6E	Infineon ADM5120	1	175	4	16	2	-	-	-	-	-	Yes	-
WiFi Router	Compex	WP54g	6E	Infineon ADM5120	1	175	4	16	2	-	-	-	-	-	Yes	-
Single Board Computer	Compex	WP543	6E03	Atheros AR7130	1	300	4	32	1	-	b/g/n	a/n	-	-	Yes	-
Single Board Computer	Compex	WP543AHV	6E03	Atheros AR7161	1	680	8	32	1	-	b/g/n	a/n	-	-	Yes	-
Single Board Computer	Compex	WP546HV	6B08	Atheros AR7161	1	680	8	64	2	-	b/g/n	a/n	-	-	Yes	-
Single Board Computer	Compex	WPE72	7A07	Atheros AR7240	1	400	4	32	2	-	b/g/n	a/n	-	-	Yes	5-24 VDC, PoE
Single Board Computer	Compex	WPE72NX	7A07	Atheros AR7240	1	400	4	32	2	-	b/g/n	a/n	-	-	Yes	-
Single Board Computer	Compex	WPJ342	7A05	Atheros AR9342	1	560	16	64	2	-	b/g/n	a/n	-	-	Yes	12-24 VDC, PoE 802.3af
Single Board Computer	Compex	WPJ344	6A06	Atheros AR9344	1	533	16	128	-	2	b/g/n	a/n	-	-	Yes	PoE 802.3af/at
Single Board Computer	Compex	WPJ419	NULL	Qualcomm IPQ4019	4	710	microSD	256	-	2	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A, PoE 802.3af/at
Single Board Computer	Compex	WPJ428	NULL	Qualcomm Atheros IPQ4028	4	628	32	256	-	2	b/g/n	a/n/ac	-	1x 3.0	Yes	12-24 VDC, passive PoE 24 VDC, 24-56 VDC, PoE 802.3af
Single Board Computer	Compex	WPJ531	7A03	Qualcomm Atheros QCA9531	1	550	16	64	2	-	b/g/n	-	-	1x Header	Yes	12-24 VDC, PoE 802.3af
Single Board Computer	Compex	WPJ558	6A06	Qualcomm Atheros QCA9558	1	700	16	128	-	2	b/g/n	a/n	-	-	Yes	24-56 VDC, PoE 802.3af/at
Single Board Computer	Compex	WPJ72Z	7B06	Atheros AR7240	1	400	4	32	2	-	b/g/n	a/n	-	-	Yes	-
WiFi Router	Comtrend	AR-5315u	NULL	Broadcom BCM6318	1	333	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Comtrend	AR-5381u	NULL	Broadcom BCM6328	1	320	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Comtrend	AR-5387un	NULL	Broadcom BCM6328	1	320	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Comtrend	CT-6373	NULL	Broadcom BCM6358	2	300	8	32	4	-	b/g	-	-	1x 2.0 Device	Yes	15 VDC, 1.5 A
WiFi Router	Comtrend	CT-5361	NULL	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	Mod	Yes	-
WiFi Router	Comtrend	CT-5365	NULL	Broadcom BCM6348	1	240	4	16	4	-	b/g	-	-	Mod	Yes	18 VDC, 0.5 A
WiFi Router	Comtrend	CT-536+	NULL	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	Mod	Yes	-
WiFi Router	Comtrend	HG-536+	NULL	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	Mod	Yes	-
Router	Comtrend	CT-5621	NULL	Broadcom BCM6348	1	256	4	16	4	-	-	-	-	Mod	Yes	-
WiFi Router	Comtrend	VG-8050	NULL	Broadcom BCM63169	2	400	128NAND	128	-	5	b/g/n	-	-	Mod	Yes	12 VDC, 2.0 A
WiFi Router	Comtrend	VR-3025u	NULL	Broadcom BCM6368	2	400	32	64	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	Comtrend	VR-3025un	NULL	Broadcom BCM6368	2	400	8	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Comtrend	VR-3026e	v1	Broadcom BCM6368	2	400	8	64	4	-	b/g/n	-	-	-	Yes	-
WiFi Router	Comtrend	VR-3032u	NULL	Broadcom BCM63168	2	400	128NAND	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Comtrend	WAP-5813n	NULL	Broadcom BCM6369	2	400	8	64	-	5	b/g/n	-	-	Mod	Yes	12 VDC, 1.0 A
Single Board Computer	Creator	Ci40 (Marduk)	02KZ/5+	MIPS interAptiv cXT200	2	550	microSD	256	1	-	b/g/n	a/n/ac	4.1	1x -USB (power)	Yes	5 VDC, 0.5 A (-USB), 9 VDC 5.5 x 2.1mm barrel connector.
Single Board Computer	Cubitech	CubieBoard1	NULL	Allwinner A10	1	1000	microSD	1024	1	-	-	-	-	2x 2.0	Yes	5 VDC, 2.0 A
Single Board Computer	Cubitech	CubieBoard2	NULL	Allwinner A20	2	1000	microSD	1024	1	-	-	-	-	2x 2.0	Yes	-
Single Board Computer	Cubitech	CubieBoard3 (Cubietruck)	NULL	Allwinner A20	2	1000	microSD	2048	-	1	b/g/n	-	4.0	2x 2.0	Yes	5 VDC, 3.0 A
Travel Router	D-Link	DAP-1350	A1	Ralink RT3052	1	384	8	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DAP-2553	A1	Atheros AR9132	1	400	16	64	-	1	b/g/n	a/n	-	-	-	5 VDC, 2.5 A
WiFi AP	D-Link	DAP-2610	A1	Qualcomm Atheros IPQ4018	4	717	16	256	-	1	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A, PoE 802.3af
WiFi Router	D-Link	DAP-2695	A1	Qualcomm Atheros QCA9558	1	720	16	256	-	2	b/g/n	a/n/ac	-	-	Yes	48 VDC, 0.5 A, PoE 802.3at
other	D-Link	DCH-M225	A1	MediaTek MT7620A	1	580	8	64	-	-	b/g/n	-	-	-	Yes	100-240 VAC, 50-60 Hz, 0.3 A
Camera	D-Link	DCS-930L/DCS-932L	B1	Ralink RT5350F	1	320	4	32	1	-	b/g/n	-	-	-	Yes	5 VDC, 1.2 A
Camera	D-Link	DCS-930L/DCS-932L	A1	Ralink RT3050F	1	320	4	32	1	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
Camera	D-Link	DCS-950G	A4	Infineon ADM5120	1	175	4	32	1	-	b/g	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DGL-5500	A1	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	-	12 VDC, 2.0 A
WiFi Router	D-Link	DHP-1565	NULL	Atheros AR9344	1	560	16	128	-	5	b/g/n	-	-	1x 2.0	-	100-240 VAC, 50-60 Hz, 0.4 A
WiFi Router	D-Link	DIR-2660	A1	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	Airlink101	AR430W	NULL	Atheros AR2318	1	183	4	16	5	-	b/g	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-300	A1	Atheros AR2317	1	183	4	16	5	-	b/g	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-300	B3	Ralink RT3050	1	320	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-300	B7	Ralink RT5350	1	360	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.0 A
WiFi Router	D-Link	DIR-600	B1	Ralink RT3050	1	320	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-600	B2	Ralink RT3050	1	320	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-600	B6E	Ralink RT5350	1	360	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	D-Link	DIR-600	B5E	Ralink RT5350	1	360	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	D-Link	DIR-320	A1	Broadcom BCM5354	1	240	4	32	5	-	b/g	-	-	1x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	D-Link	DIR-320	A2	Broadcom BCM5354 rev. 3	1	240	4	32	5	-	b/g	-	-	1x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	D-Link	DIR-320	B1	Ralink RT5350	1	360	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	D-Link	DIR-330	A1	Broadcom BCM5836	1	264	8	32	5	-	b/g	-	-	1x 1.1	Yes	5 VDC, 2.5 A
Travel Router	D-Link	DIR-505	A2	Atheros AR1311	1	400	8	64	1	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.3 A
Travel Router - Battery powered	D-Link	DIR-510L	A1	MediaTek MT7620A	1	580	16	128	1	-	b/g/n	a/n/ac	-	2x 2.0	Yes	5 VDC, 1.8 A (-USB), 4000 mAh Li-ion battery
WiFi Router	D-Link	DIR-600	A1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-601	A1	Atheros AR7240 rev 2	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	5 VDC, 1.2 A
WiFi Router	Frys	FR-54RTR	NULL	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-610	A1	Ralink RT5350	1	360	4	32	4	-	b/g/n	-	-	-	-	5 VDC, 1.0 A
WiFi Router	D-Link	DIR-615	D1	Ralink RT3052	1	384	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-615	E1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-615	E4	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-615	H1	Ralink RT3352	1	400	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-615	I1	Atheros AR9341	1	533	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	D-Link	DIR-615	I3	Atheros AR9341	1	533	8	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	D-Link	DIR-615	C2	Atheros AR9130	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-615	D5	Ralink RT3052	1	320	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-615	E3	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	5 VDC, 1.2 A
WiFi Router	D-Link	DIR-620	A1	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-620	D1	Ralink RT3352F	1	400	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	D-Link	DIR-632	A1	Atheros AR7242	1	400	8	32	9	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-645	A1	Ralink RT3883	1	500	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	D-Link	DIR-685	NULL	Storm SL3516	1	300	8	128	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	D-Link	DIR-810L	B1	MediaTek MT7620A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	D-Link	DIR-825	B2	Atheros AR7161	1	680	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	D-Link	DIR-825	C1	Atheros AR9344	1	560	16	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	D-Link	DIR-835	A1	Atheros AR9344	1	560	16	128	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	D-Link	DIR-842	C2	Qualcomm Atheros QCA9563	1	750	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	D-Link	DIR-842	C1	Qualcomm Atheros QCA9563	1	750	16	128	-	5	b/g/n	a/n/ac	-	-	-	12 VDC, 1.0 A
WiFi Router	D-Link	DIR-842	C3	Qualcomm Atheros QCA9563	1	750	16	128	-	5	b/g/n	a/n/ac	-	-	-	12 VDC, 1.0 A
WiFi Router	D-Link	DIR-860L	B1	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi Router	D-Link	DIR-867	A1	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	D-Link	DIR-878	A1	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	D-Link	DIR-882	A1	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	D-Link	DIR-885L	A1	Broadcom BCM4709C0	2	1400	32	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 1.2 A
NAS	D-Link	DNS-120	A2	Infineon ADM5120	1	150	4	32	1	-	-	-	-	2x 2.0	Yes	5 VDC, 2.5 A
NAS	D-Link	DNS-313	NULL	Cortina Systems QWCS3512C A3	1	300	-	64	-	1	-	-	-	1x 2.0 Device	Yes	12 VDC, 3.0 A
WiFi Router	D-Link	DSL-2650U/BRU/D	D2 (RU)	Broadcom BCM6358	2	300	8	32	5	-	b/g	-	-	1x 2.0	Yes	-
Modem	D-Link	DSL-2730U	C1	Broadcom BCM6328	1	320	8	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
Modem	D-Link	DSL-2740B/1B	C2	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	-
Modem	D-Link	DSL-2740B/1B	C3	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	-
Modem	D-Link	DSL-2740B/1B	F1 (EU)	Broadcom BCM6328	1	320	8	64	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	D-Link	DSL-2740B	E1	Broadcom BCM6358	2	300	16	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
Modem	D-Link	DSL-2740U	C2	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	12 VAC, 1.5 A
Router	D-Link	DSL-504T	C3	Texas Instruments TNETD7200	1	211	4	16	4	-	-	-	-	-	Yes	-
Modem	D-Link	DSL-524T	A1 (EU)	Texas Instruments TNETD7300	1	150	4	16	4	-	-	-	-	-	Yes	12 VAC, 1.2 A
Modem	D-Link	DSL-G684T	A1 (EU)	Texas Instruments TNETD7300	1	150	4	16	4	-	b/g	-	-	-	Yes	-
Modem	D-Link	DSL-584T	A1 (EU)	Texas Instruments TNETD7300	1	150	4	16	4	-	-	-	-	-	-	-
