devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	MobiPromo	CM520-79F	NULL	Qualcomm IPQ4019	4	-	128NAND	512	-	3	-	-	-	-	Yes	-
WiFi Router	Linksys	EA7500	V1	Qualcomm IPQ8064	2	1400	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.5 A
Range Extender	Edimax	RE23S	NULL	MediaTek MT7621AT	2	880	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50/60 Hz, 0.2-0.5 A
WiFi Router	GL.iNet	GL-S1300	NULL	Qualcomm IPQ4029	4	717	8192 eMMC	512	-	3	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.5 A
WiFi Router	Buffalo	WTR-M2133HP	NULL	Qualcomm IPQ4019	4	717	128NAND	512	-	4	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
NAS	ZyXEL	NSA310S	NULL	Marvell 88F6702	1	1000	128NAND	256	-	1	-	-	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	ZyXEL	Keenetic Lite	rev. B	Ralink RT5350	1	360	8	32	5	-	b/g/n	-	-	-	Yes	-
other	D-Link	DCH-G020	A1	Qualcomm Atheros QCA9531	1	-	16	64	2	-	b/g/n	-	-	1x 2.0	-	5 VDC, 2.0 A
Range Extender	D-Link	DAP-1365	A1	Qualcomm Atheros QCA9533	1	-	8	64	1	-	b/g/n	-	-	-	-	110-220 VAC, 50/60 Hz
WiFi Router	ELECOM	WRC-1750GS	NULL	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
WiFi Router	ELECOM	WRC-1750GSV	NULL	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
other	Ubiquiti	PowerBridge M	NULL	Atheros AR7241	1	400	8	64	1	-	-	a/n	-	-	Yes	Passive PoE 24 VDC 1.0 A
NAS	Kobol	Helios4	NULL	Marvell Armada 388	2	1600	microSDXC	2048	-	1	-	-	-	2x 3.0	Yes	12 VDC, 8.0 A
WiFi AP	Ubiquiti	PicoStation M XM	NULL	Atheros AR7241	1	400	8	32	1	-	-	-	-	-	Yes	Passive PoE 24 VDC
WiFi Router	D-Link	DIR-1960	A1	MediaTek MT7621AT	2	880	128	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2 A
Modem	GL.iNet	GL-E750	NULL	Qualcomm Atheros QCA9531	1	650	128NAND	128	1	-	b/g/n	a/n/ac	-	1x 2.0	-	5 VDC, 2.0 A
WiFi Router	NETGEAR	JWNR2010	v5	MediaTek MT7620N	1	580	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
Range Extender	Winstars	WS-WN583A6	NULL	MediaTek MT7621AT	2	880	8	128	-	2	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50/60 Hz
Router	MikroTik	RB760iGS (hEX S)	NULL	MediaTek MT7621A	2	880	microSD	256	-	5	-	-	-	1x 2.0	Yes	12-57 VDC barrel jack, PoE 802.3af/at
WiFi AP	EnGenius	ENH202	v1	Atheros AR7240 rev 2	1	400	8	32	2	-	b/g/n	-	-	-	Yes	PoE
WiFi Router	Buffalo	WBMR-300HPD	NULL	Lantiq VRX200	2	500	16	64	4	-	b/g/n	-	-	-	Yes	-
WiFi Router	Telco Electronics	T1	NULL	Qualcomm Atheros QCA9531	1	650	16	64	2	-	b/g/n	-	-	1x -USB (power)	-	5 VDC, 2.0 A, Passive PoE 24 VDC, 0.5 A
WiFi AP	TP-Link	EAP225-Wall	v2	Qualcomm Atheros QCA9561	1	775	16	128	4	-	b/g/n	a/n/ac	-	-	Yes	PoE 802.3at
WiFi AP	TP-Link	EAP245	v1	Qualcomm Atheros QCA9563	1	775	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	12V DC/1.5A, PoE 802.3at
WiFi AP	TP-Link	EAP225	v3	Qualcomm Atheros QCA9563	1	775	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	802.3af/at, 24V passive PoE
WiFi AP	Edge-corE	ECW5410	NULL	Qualcomm Atheros IPQ8068	4	1400	16	256	-	2	b/g/n	a/n/ac	BLE	1x 3.0	Yes	12 VDC, 2.5 A, PoE 802.3at
WiFi AP	Edge-corE	ECW5211	NULL	Qualcomm Atheros IPQ4018	4	-	128NAND	256	-	2	b/g/n	a/n/ac	BLE	1x 2.0	-	12 VDC, 1.0 A, PoE 802.3af
WiFi AP	Edge-corE	OAP-100	NULL	Qualcomm IPQ4019	4	-	-	-	-	2	b/g/n	a/n/ac	BLE	-	Yes	10-24 VDC, PoE 802.3at
WiFi Router	Sitecom	WLR-4100	V1 001	Ralink RT3352F	1	400	8	32	-	5	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	MR8300	NULL	Qualcomm IPQ4019	4	717	256NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A
WiFi AP	Luma	WRTQ-329ACN	NULL	Qualcomm Atheros IPQ4018	4	-	128NAND	256	-	2	b/g/n	a/n/ac	4.0	1x 2.0	Yes	12 VDC, 1.5 A
